stationID,obsTimeUtc,obsTimeLocal,solarRadiation,lon,epoch,lat,uv,winddir,humidity,imperial.temp,imperial.heatIndex,imperial.dewpt,imperial.windChill,imperial.windSpeed,imperial.windGust,imperial.pressure,imperial.precipRate,imperial.precipTotal
KTXDALLA724,2022-08-08T02:59:56Z,2022-08-07 21:59:56,0,-96.838997,1659927596,32.754002,0,109,39,93,95,65,93,0,0,30.17,0,0
KTXDALLA724,2022-08-08T03:59:55Z,2022-08-07 22:59:55,0,-96.838997,1659931195,32.754002,0,98,43,91,93,65,91,0,0,30.18,0,0
KTXDALLA724,2022-08-08T04:59:55Z,2022-08-07 23:59:55,0,-96.838997,1659934795,32.754002,0,122,47,90,93,67,90,0,1,30.18,0,0
KTXDALLA724,2022-08-08T05:00:43Z,2022-08-08 00:00:43,0,-96.838997,1659934843,32.754002,0,90,50,90,94,69,90,0,0,30.18,0,0
KTXDALLA724,2022-08-08T12:59:54Z,2022-08-08 07:59:54,23.36,-96.838997,1659963594,32.754002,0,107,72,81,85,72,81,0,1,30.24,0,0
KTXDALLA724,2022-08-08T13:59:54Z,2022-08-08 08:59:54,203.81,-96.838997,1659967194,32.754002,2,103,69,83,88,72,83,1,1,30.25,0,0
KTXDALLA724,2022-08-08T14:59:54Z,2022-08-08 09:59:54,420.71,-96.838997,1659970794,32.754002,4,97,58,88,94,71,88,1,2,30.25,0,0
KTXDALLA724,2022-08-08T15:59:54Z,2022-08-08 10:59:54,658.9,-96.838997,1659974394,32.754002,6,101,50,92,98,71,92,1,1,30.24,0,0
KTXDALLA724,2022-08-08T16:59:54Z,2022-08-08 11:59:54,734.02,-96.838997,1659977994,32.754002,7,108,44,95,102,70,95,1,2,30.23,0,0
KTXDALLA724,2022-08-08T17:59:54Z,2022-08-08 12:59:54,759.95,-96.838997,1659981594,32.754002,7,119,38,98,105,69,98,1,1,30.23,0,0
KTXDALLA724,2022-08-08T18:59:54Z,2022-08-08 13:59:54,779.89,-96.838997,1659985194,32.754002,7,123,36,101,108,69,101,1,1,30.21,0,0
KTXDALLA724,2022-08-08T19:59:54Z,2022-08-08 14:59:54,767.41,-96.838997,1659988794,32.754002,7,108,33,102,109,68,102,1,1,30.18,0,0
KTXDALLA724,2022-08-08T20:59:54Z,2022-08-08 15:59:54,712.73,-96.838997,1659992394,32.754002,6,119,32,103,109,68,103,1,1,30.15,0,0
KTXDALLA724,2022-08-08T21:59:54Z,2022-08-08 16:59:54,597.73,-96.838997,1659995994,32.754002,5,114,32,101,106,67,101,1,1,30.12,0,0
KTXDALLA724,2022-08-08T22:59:54Z,2022-08-08 17:59:54,491.06,-96.838997,1659999594,32.754002,4,104,32,101,106,66,101,0,1,30.1,0,0
KTXDALLA724,2022-08-08T23:59:53Z,2022-08-08 18:59:53,270.61,-96.838997,1660003193,32.754002,2,105,32,101,106,66,101,1,1,30.09,0,0
KTXDALLA724,2022-08-09T00:59:53Z,2022-08-08 19:59:53,25.07,-96.838997,1660006793,32.754002,0,98,36,98,102,67,98,0,0,30.09,0,0
KTXDALLA724,2022-08-09T01:59:53Z,2022-08-08 20:59:53,4.28,-96.838997,1660010393,32.754002,0,100,39,95,99,67,95,0,0,30.11,0,0
KTXDALLA724,2022-08-09T02:59:53Z,2022-08-08 21:59:53,0,-96.838997,1660013993,32.754002,0,114,42,93,96,67,93,0,0,30.14,0,0
KTXDALLA724,2022-08-09T03:59:53Z,2022-08-08 22:59:53,0,-96.838997,1660017593,32.754002,0,105,43,92,94,66,92,0,0,30.15,0,0
KTXDALLA724,2022-08-09T04:59:53Z,2022-08-08 23:59:53,0,-96.838997,1660021193,32.754002,0,104,45,90,94,67,90,0,1,30.15,0,0
